year,player_name,school_name,pos,class,age,IP,App,GS,W,L,ERA,WHIP,SO,BB
2025,Sadier Vicioso,Felician,LHP,4YR JR,20,83.2,15,14,6,4,5.27,1.52,69,35
2025,Cole McDaniel,Shorter,LHP,4YR SR,22,21.1,12,3,2,1,7.59,1.92,13,12
2025,Eli Edds,Lincoln Memorial,RHP,4YR JR,21,64.2,12,12,2,6,5.15,1.44,69,28
2025,Rece Ritchey,Millersville,LHP,4YR 5S,23,13,12,0,2,0,2.08,2.15,18,17
2025,Rylan Byrd,Cameron,RHP,4YR SR,22,2.1,4,0,0,0,42.43,5.57,2,5
2025,MJ Hunter,Concord,2B,4YR SR,22,4,5,0,0,0,18,3.5,3,7
2025,Brayden Heidel,Tampa,RHP,4YR GR,23,14,8,1,2,0,3.86,1.5,15,9
2025,Dylan Gardner,Cal St. Monterey Bay,RHP,4YR 5S,23,51,15,7,4,1,5.12,1.51,42,21
2025,Daniel Barcena,Francis Marion,RHP,4YR 5S,23,53.1,14,11,3,3,5.23,1.57,49,25
2025,Aidan Lee,Cal St. Monterey Bay,RHP,4YR 5S,23,51.1,14,8,4,2,4.56,1.44,58,22
2025,Hunter Allen,Ashland,RHP,4YR SR,21,61.1,12,12,7,1,3.96,1.37,84,37
2025,Nathan Culley,Minnesota St.,LHP,4YR 5S,23,82,13,13,12,1,2.52,1.16,98,27
2025,Hailama Swartman,Jessup,RHP,4YR 5S,23,60.1,13,13,5,2,3.28,1.31,49,13
2025,Tyler Bowen,Lander,RHP,4YR SR,22,32.1,22,1,3,2,3.9,1.39,51,20
2025,Jonathon Jacobs,UNC Pembroke,RHP,4YR SR,21,72.1,14,14,4,5,4.6,1.41,61,33
2025,Jonathan Bautista,Georgia Southwestern,RHP,4YR SR,23,47,20,4,2,2,4.98,1.49,40,19
2025,Randy Ramnarace,New Haven,RHP,4YR JR,20,32.1,12,1,2,1,2.51,1.21,45,18
2025,Divine Valle,Shorter,RHP,4YR JR,21,7,4,0,0,0,7.71,1.86,6,7
2025,Giovanni Costello,Cal St. Monterey Bay,RHP,4YR JR,21,25,11,0,3,0,3.96,1.32,28,10
2025,Ben Stubbs,Flagler,LHP,4YR JR,21,70.2,14,14,6,1,3.44,1.46,87,46
2025,Richie Cortese,Lander,RHP,4YR SR,22,15.2,13,0,0,1,5.17,1.66,28,14
2025,Jake Shelagowski,Saginaw Valley,RHP,4YR JR,21,33.1,19,0,1,0,3.78,1.44,51,18
2025,Caleb Cockerham,Lenoir-Rhyne,LHP,4YR SR,22,5.2,9,0,0,0,12.71,3.71,8,11
2025,Ramon Rodriguez,Point Park,LHP,4YR JR,21,52.2,12,10,5,3,4.27,1.29,53,18
2025,Gavin Marley,Lenoir-Rhyne,RHP,4YR SR,22,39.1,28,0,3,1,2.75,1.12,59,22
2025,CJ Zwahlen,Colorado Mesa,RHP,4YR SR,22,12.1,8,1,0,0,5.11,1.7,13,5
2025,Rawley Hector,UT Tyler,RHP,4YR SR,23,87,17,17,10,2,3.1,1.22,82,20
2025,Nick Bacura,San Fran. St.,C,4YR SR,22,25.2,17,0,4,0,4.56,1.36,33,13
2025,Dalton Neuschwander,West Florida,RHP,4YR 5S,23,81.2,15,12,9,4,2.42,1.18,80,14
2025,Andrew Pogue,Colorado Mesa,RHP,4YR GR,24,34,13,5,3,1,5.03,1.35,35,18
2025,Nelson Smith,Lee,RHP,4YR 5S,24,22,15,0,0,0,6.55,1.59,18,11
2025,Nate Rohlicek,Cal St. Monterey Bay,RHP,4YR 5S,24,84,16,14,5,3,5.04,1.11,83,16
2025,Julian Hernandez,Nova Southeastern,RHP,4YR JR,21,16.2,14,0,0,1,4.86,1.26,20,10
2025,Jaxon Dalena,Shippensburg,RHP,4YR 5S,23,83,14,14,8,3,3.36,1.17,99,30
2025,Anthony Alvarez,San Fran. St.,SS,4YR SR,22,31.2,20,5,1,3,6.25,1.67,32,19
2025,Landon Lucas,UNC Pembroke,RHP,4YR 5S,23,26.2,14,1,3,2,4.05,1.43,20,17
2025,Keegan Batka,Davenport,RHP,4YR 5S,23,84.1,13,13,8,1,3.09,1.03,91,20
2025,Dax Dathe,Angelo State,RHP,4YR GR,24,72.1,15,13,8,1,2.99,1.16,98,31
2025,Clayton Johnson,Illinois Springfield,RHP,4YR SR,23,2.2,4,0,0,0,16.88,4.87,6,10
2025,Fran Montanez,Newman,RHP,4YR JR,20,23.1,16,2,1,3,12.34,1.89,26,15
2025,Joseph Romero,Cal Poly Pomona,RHP,4YR 5S,23,15,7,1,0,1,7.8,1.6,8,10
2025,Tyler Dean,North Greenville,RHP,4YR SR,22,15.2,15,0,1,0,8.04,2.23,22,17
